Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Ticker- Total Return,Bloomberg Ticker- Net Return,Bloomberg Ticker- Price Return,RIC Code - Total Return,RIC Code - Net Return,RIC Codes - Price Return
S,FTSE Enel Index,SSENEL,EUR,PDG101,SSENEL,-,-,.TRISSENEL,-,.FTSSENEL
S,FTSE Intesa Sanpaolo Index,SSISP,EUR,PDG101,SSISP,-,-,.TRISSISP,-,.FTSSISP
S,FTSE Unicredit Index,SSUCG,EUR,PDG101,SSUCG,-,-,.TRISSUCG,-,.FTSSUCG
S,FTSE Generali Index,SSG,EUR,PDG101,SSG,-,-,.TRISSG,-,.FTSSG
S,FTSE Telcom Italia Index,SSTIT,EUR,PDG101,SSTIT,-,-,.TRISSTIT,-,.FTSSTIT
S,FTSE Custom MPF Developed Selected Countries ESG Low Carbon Select Index ,GPSUN001,HDK,PDG101,-,GPSUN1N,GPSUN1P,.TRIGPSUN001,-,.FTGPSUN001
S,FTSE EPRA Nareit Asia ex Japan India Pakistan Taiwan Cambodia REITs 10% Capped Index,,USD,PDG101,,-,EAXJIPTP,.TRI,-,.FT
S,FTSE EPRA Nareit Asia ex Japan India Pakistan Taiwan Cambodia REITs 10% Capped Net Tax Index,EAXJIPTN,USD,PDG101,-,EAXJIPTR,-,-,.TRIEAXJIPTN,-
S,FTSE 250 ex Investment Trusts Net Tax Index,MCIXNUK,GBP,PDG101,,,,,.TRIMCIXNUK,
S,FTSE Ping An China A Free ESG Advanced 50 Index,,CNY,PDG105,,,,.TRI,,.FT
S,FTSE Ping An China A Free ESG Advanced 100 Index,FQCDE100,CNY,PDG105,,,,.TRIFQCDE100,,.FTFQCDE100
S,FTSE Ping An China A Free ESG Advanced 50 Net Tax Index,FQCDN50,CNY,PDG105,,,,.TRIFQCDN50,,
S,FTSE Ping An China A Free ESG Advanced 100 Net Tax Index,FQCDN100,CNY,PDG105,,,,.TRIFQCDN100,,
