Pulsed/ Streaming,Index Name,Base Currency,PDG,Availability,RussellTick,Bloomberg Ticker,Refinitiv RIC,,,
S,Russell 1000® Equal Weight Consumer Discretionary Index,USD,PDG01RR,Real Time,R1EWCD,-,.R1EWCD,,,
S,Russell 1000® Equal Weight Consumer Discretionary Index,USD,PDG01RR,Real Time,R1EWCDTR,R1EWCDTR,.R1EWCDTR,,,
S,Russell 1000® Equal Weight Consumer Staples Index,USD,PDG01RR,Real Time,R1EWCS,-,.R1EWCS,,,
S,Russell 1000® Equal Weight Consumer Staples Index,USD,PDG01RR,Real Time,R1EWCSTR,R1EWCSTR,.R1EWCSTR,,,
S,Russell 1000® Equal Weight Energy Index,USD,PDG01RR,Real Time,R1EWENG,-,.R1EWENG,,,
S,Russell 1000® Equal Weight Energy Index,USD,PDG01RR,Real Time,R1EWETR,R1EWETR,.R1EWETR,,,
S,Russell 1000® Equal Weight Financial Services Index,USD,PDG01RR,Real Time,R1EWFS,-,.R1EWFS,,,
S,Russell 1000® Equal Weight Financial Services Index,USD,PDG01RR,Real Time,R1EWFSTR,R1EWFSTR,.R1EWFSTR,,,
S,Russell 1000® Equal Weight Health Care Index,USD,PDG01RR,Real Time,R1EWHC,-,.R1EWHC,,,
S,Russell 1000® Equal Weight Health Care Index,USD,PDG01RR,Real Time,R1EWHCTR,R1EWHCTR,.R1EWHCTR,,,
S,Russell 1000® Equal Weight Index,USD,PDG01RR,Real Time,R1ELC,RUR1ELC,.R1ELC,,,
S,Russell 1000® Equal Weight Materials & Processing Index,USD,PDG01RR,Real Time,R1EWMP,-,.R1EWMP,,,
S,Russell 1000® Equal Weight Materials & Processing Index,USD,PDG01RR,Real Time,R1EWMPTR,R1EWMPTR,.R1EWMPTR,,,
S,Russell 1000® Equal Weight Producer Durables Index,USD,PDG01RR,Real Time,R1EWPD,-,.R1EWPD,,,
S,Russell 1000® Equal Weight Producer Durables Index,USD,PDG01RR,Real Time,R1EWPDTR, R1EWPDTR,.R1EWPDTR,,,
S,Russell 1000® Equal Weight Technology Index,USD,PDG01RR,Real Time,R1EWTEC,-,.R1EWTEC,,,
S,Russell 1000® Equal Weight Technology Index,USD,PDG01RR,Real Time,R1EWTTR,R1EWTTR,.R1EWTTR,,,
S,Russell 1000® Equal Weight Utilities Index,USD,PDG01RR,Real Time,R1EWUTIL,-,.R1EWUTIL,,,
S,Russell 1000® Equal Weight Utilities Index,USD,PDG01RR,Real Time,R1EWUTR,R1EWUTR,.R1EWUTR,,,
S,Russell 1000® ex Tobacco,USD,PDG01RR,Real Time,RUR1XTOB,-,.RUR1XTOB,,,
S,Russell 1000® Growth,USD,PDG01RR,Real Time,RLG,RLG,.RLG,,,
S,Russell 1000® Growth Net,USD,PDG01RR,Real Time,RLGNET,RU1GN30U,.RLGNET,,,
S,Russell 1000® Growth Total Return,USD,PDG01RR,Real Time,RLGTR,RU10GRTR,.RLGTRI,,,
S,Russell 1000® Pure Domestic Exposure Index,USD,PDG101,Real Time,R1DE,-,.FTR1DE,,,
S,Russell 1000® Pure Domestic Exposure Index Total Return,USD,PDG101,Real Time,R1DE,R1DERTR,.TRIR1DE,,,
S,Russell 1000® Pure Growth Price,USD,PDG01RR,Real Time,R1KPGROP,R1KPGROP,.R1KPGROP,,,
S,Russell 1000® Pure Value Price,USD,PDG01RR,Real Time,R1KPVALP,R1KPVALP,.R1KPVALP,,,
S,Russell 1000® Total Return,USD,PDG01RR,Real Time,RUITR,RU10INTR,.RUITR,,,
S,Russell 1000® Value,USD,PDG01RR,Real Time,RLV,RLV,.RLV,,,
S,Russell 1000® Value Net Return,USD,PDG01RR,Real Time,RLVNET,RU1VN30U,.RLVNET,,,
S,Russell 1000® Value Total Return,USD,PDG01RR,Real Time,RLVTR,RU10VATR,.RLVTRI,,,
S,Russell 2000 2x Daily Leveraged Total Return Index,USD,PDG01RR,Real Time,R2L2XTR,R2L2XTR,-,,,
S,Russell 2000 2x Daily Short Total Return Index,USD,PDG01RR,Real Time,R2S2XTR,R2S2XTR,-,,,
S,Russell 2000 Aerospace and Defense Sector Index,USD,PDG01RR,Real Time,R2ICBAOD,-,.R2ICBAOD,,,
S,Russell 2000 Aerospace and Defense Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBAODT,-,.R2ICBAODT,,,
S,Russell 2000 Alternative Energy Sector Index,USD,PDG01RR,Real Time,R2ICBALE,-,.R2ICBALE,,,
S,Russell 2000 Alternative Energy Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBALET,-,.R2ICBALET,,,
S,Russell 2000 Automobiles and Parts Sector Index,USD,PDG01RR,Real Time,R2ICBAUP,-,.R2ICBAUP,,,
S,Russell 2000 Automobiles and Parts Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBAUPT,-,.R2ICBAUPT,,,
S,Russell 2000 Automobiles and Parts Supersector Index,USD,PDG01RR,Real Time,R2ICBAPS,-,.R2ICBAPS,,,
S,Russell 2000 Automobiles and Parts Supersector Index - Total Return,USD,PDG01RR,Real Time,R2ICBAPST,-,.R2ICBAPST,,,
S,Russell 2000 Banks Sector Index,USD,PDG01RR,Real Time,R2ICBBAN,-,.R2ICBBAN,,,
S,Russell 2000 Banks Sector Index - Total Return,USD,PDG01RR,Real Time,R2ICBBANT,-,.R2ICBBANT,,,
S,Russell 2000 Banks Supersector Index,USD,PDG01RR,Real Time,R2ICBBNK,-,.R2ICBBNK,,,
S,Russell 2000 Banks Supersector Index - Total Return,USD,PDG01RR,Real Time,R2ICBBNKT,-,.R2ICBBNKT,,,
